0,商品ID,书籍名称,书籍链接,价格,好评度,评论数,出版社,店家链接
1,10005697,《systemverilog验证》(（美）克里斯·斯皮尔)【摘要 书评 试读】- 京东图书,//item.jd.com/10005697.html,55,96,700,科学出版社,//mall.jd.com/index-1000005740.html
2,10057441,《数据结构与算法分析：C语言描述（原书第2版） 》([美]MarkAllenWeiss)【摘要 书评 试读】- 京东图书,//item.jd.com/10057441.html,27.6,98,13000,机械工业出版社,//cmpbook.jd.com
3,10057453,《计算机科学丛书：C程序设计语言习题解答（第2版·新版 原书第2版）》([美]汤朵，[美]吉米拜尔)【摘要 书评 试读】- 京东图书,//item.jd.com/10057453.html,12,97,21000,机械工业出版社,//cmpbook.jd.com
4,10057835,《数据结构（C语言版）》([美]霍罗威茨，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10057835.html,37.3,97,1100,机械工业出版社,//cmpbook.jd.com
5,10057868,《ABAQUS有限元分析实例详解（附光盘）》(石亦平，周玉蓉)【摘要 书评 试读】- 京东图书,//item.jd.com/10057868.html,37.8,97,3700,机械工业出版社,//cmpbook.jd.com
6,10057929,《C程序设计语言（英文版）（第2版）》(Brian W.Kernighan，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10057929.html,27.5,95,800,机械工业出版社,//cmpbook.jd.com
7,10058149,《Java编程思想（英文版）（第4版）》(（美）埃克尔)【摘要 书评 试读】- 京东图书,//item.jd.com/10058149.html,61.3,95,1100,机械工业出版社,//cmpbook.jd.com
8,10058164,《Java编程思想（第4版） 》([美]Bruce  Eckel)【摘要 书评 试读】- 京东图书,//item.jd.com/10058164.html,86.4,98,87000,机械工业出版社,//cmpbook.jd.com
9,10058902,《Effective Java中文版（第2版） 》([美]布洛克（Joshua Bloch）)【摘要 书评 试读】- 京东图书,//item.jd.com/10058902.html,38.8,98,14000,机械工业出版社,//cmpbook.jd.com
10,10059373,《算法：C语言实现（第1-4部分）基础知识、数据结构、排序及搜索（原书第3版）》([美]塞奇威克)【摘要 书评 试读】- 京东图书,//item.jd.com/10059373.html,57.9,96,1000,机械工业出版社,//cmpbook.jd.com
11,10062260,《C Primer Plus（第5版 中文版）》([美]普拉塔 （Prata S.）)【摘要 书评 试读】- 京东图书,//item.jd.com/10062260.html,47.4,97,50000,人民邮电出版社,//ptpressjd.jd.com
12,10062654,《C和C++经典著作：C陷阱与缺陷》([美]Andrew Koenig)【摘要 书评 试读】- 京东图书,//item.jd.com/10062654.html,23.7,97,50000,人民邮电出版社,//ptpressjd.jd.com
13,10062655,"《C和C++经典著作：C专家编程Expert C Programming Deep C Secrets》([美]林登（LinDen,P.V.D）)【摘要 书评 试读】- 京东图书",//item.jd.com/10062655.html,35.4,97,50000,人民邮电出版社,//ptpressjd.jd.com
14,10062667,《C和C++经典著作：C和指针 POINTERS ON C》([美]里科（Kenneth·Reek）)【摘要 书评 试读】- 京东图书,//item.jd.com/10062667.html,51.3,97,50000,人民邮电出版社,//ptpressjd.jd.com
15,10062788,"《Python核心编程（第2版）》([美]丘恩（Chun,W.J.）)【摘要 书评 试读】- 京东图书",//item.jd.com/10062788.html,70.3,95,7800,人民邮电出版社,//ptpressjd.jd.com
16,10064006,《代码整洁之道 》([美]马丁)【摘要 书评 试读】- 京东图书,//item.jd.com/10064006.html,46.6,98,39000,人民邮电出版社,//ptpressjd.jd.com
17,10064146,《C语言程序设计：现代方法（第2版）》([美]金)【摘要 书评 试读】- 京东图书,//item.jd.com/10064146.html,67.2,98,2600,人民邮电出版社,//ptpressjd.jd.com
18,10066736,《编程之美：微软技术面试心得》【摘要 书评 试读】- 京东图书,//item.jd.com/10066736.html,30.9,98,26000,电子工业出版社,//phei1982.jd.com
19,10066936,《Tomcat与Java Web开发技术详解（第2版）（附光盘）》(孙卫琴)【摘要 书评 试读】- 京东图书,//item.jd.com/10066936.html,60.4,97,2000,电子工业-艺术摄影,//mall.jd.com/index-1000077369.html
20,10067435,《JAVA开发专家·精通Hibernate：Java对象持久化技术详解（第2版）（附光盘1张）》(孙卫琴)【摘要 书评 试读】- 京东图书,//item.jd.com/10067435.html,61.3,96,800,电子工业-艺术摄影,//mall.jd.com/index-1000077369.html
21,10078851,《DirectX 9.0 3D游戏开发编程基础》([美]Frank D.Luna)【摘要 书评 试读】- 京东图书,//item.jd.com/10078851.html,40.9,97,600,清华大学出版社,//mall.jd.com/index-1000004111.html
22,10079137,《LabVIEW 8.20程序设计从入门到精通（附光盘）》(陈锡辉，张银鸿)【摘要 书评 试读】- 京东图书,//item.jd.com/10079137.html,43.6,95,700,清华大学出版社,//mall.jd.com/index-1000004111.html
23,10079621,《机器视觉算法与应用（双语版）》([德]斯蒂格（Steger C），等)【摘要 书评 试读】- 京东图书,//item.jd.com/10079621.html,50.8,98,700,清华大学出版社,//mall.jd.com/index-1000004111.html
